slug,url,company_name,ticker,quarter,call_year,call_date,reporting_period,event_type,n_words,trade_risk,sanctions_risk,embargo_risk,geopolitical_risk,any_georisk
-93CH-4520304,https://www.investing.com/news/transcripts/-93CH-4520304,,,,,2001-01-01,,investor_conference,2435,True,False,False,False,True
-93CH-4526385,https://www.investing.com/news/transcripts/-93CH-4526385,,,,,2001-01-01,,investor_conference,2239,True,False,False,False,True
-93CH-4530803,https://www.investing.com/news/transcripts/-93CH-4530803,,,,,2001-01-01,,investor_conference,7567,True,False,False,True,True
adm-at-bank-of-america-conference-strategic-growth-in-agriculture-93CH-4524805,https://www.investing.com/news/transcripts/adm-at-bank-of-america-conference-strategic-growth-in-agriculture-93CH-4524805,Bank of America,,,2026.0,2026-02-25,,investor_conference,3061,True,False,False,True,True
aerovironment-at-td-cowen-conference-strategic-growth-and-innovation-93CH-4500547,https://www.investing.com/news/transcripts/aerovironment-at-td-cowen-conference-strategic-growth-and-innovation-93CH-4500547,TD Cowen 47th Annual Aerospace & Defense Conference,,,,2026-02-11,,investor_conference,3593,True,False,False,True,True
aethlon-medical-at-emerging-growth-virtual-conference-oncology-focus-93CH-4525962,https://www.investing.com/news/transcripts/aethlon-medical-at-emerging-growth-virtual-conference-oncology-focus-93CH-4525962,Emerging Growth Virtual Conference,,,,2026-02-25,,investor_conference,2317,True,False,False,False,True
aflac-at-ubs-financial-services-conference-strategic-growth-insights-93CH-4500668,https://www.investing.com/news/transcripts/aflac-at-ubs-financial-services-conference-strategic-growth-insights-93CH-4500668,UBS Financial Services Conference,,,2026.0,2026-02-11,,investor_conference,3524,True,False,False,True,True
agco-at-citis-conference-precision-ag-and-market-dynamics-93CH-4514480,https://www.investing.com/news/transcripts/agco-at-citis-conference-precision-ag-and-market-dynamics-93CH-4514480,Citi’s Global Industrial Tech & Mobility Conference,,,2026.0,2026-02-19,,investor_conference,3529,True,False,False,False,True
aim-immunotech-at-corporate-connect-ampligens-role-in-pancreatic-cancer-93CH-4501118,https://www.investing.com/news/transcripts/aim-immunotech-at-corporate-connect-ampligens-role-in-pancreatic-cancer-93CH-4501118,Corporate Connect Webinar Series,,,,2026-02-11,,investor_conference,586,True,False,False,False,True
aim-immunotech-at-virtual-investor-closing-bell-strategic-focus-on-pancreatic-cancer-93CH-4514953,https://www.investing.com/news/transcripts/aim-immunotech-at-virtual-investor-closing-bell-strategic-focus-on-pancreatic-cancer-93CH-4514953,Virtual Investor Closing Bell,,,,2026-02-19,,investor_conference,3725,True,False,False,False,True
akebia-therapeutics-at-guggenheim-summit-aiming-for-dialysis-market-leadership-93CH-4503535,https://www.investing.com/news/transcripts/akebia-therapeutics-at-guggenheim-summit-aiming-for-dialysis-market-leadership-93CH-4503535,Guggenheim Securities Emerging Outlook: Biotech Summit,,,2026.0,2026-02-12,,investor_conference,3233,True,False,False,False,True
alcoa-at-35th-bmo-conference-strategic-moves-and-market-outlook-93CH-4521886,https://www.investing.com/news/transcripts/alcoa-at-35th-bmo-conference-strategic-moves-and-market-outlook-93CH-4521886,"35th BMO Global Metals, Mining & Critical Minerals Conference",,,,2026-02-24,,investor_conference,2175,True,False,False,True,True
