topic,label,term,probability
0,Digital Media & Advertising,customer,0.01080315
0,Digital Media & Advertising,revenue,0.007874169
0,Digital Media & Advertising,please,0.0064275293
0,Digital Media & Advertising,product,0.005446529
0,Digital Media & Advertising,seeing,0.005262801
0,Digital Media & Advertising,come,0.005225109
0,Digital Media & Advertising,opportunity,0.004958994
0,Digital Media & Advertising,platform,0.0047563957
0,Digital Media & Advertising,taking,0.004722016
0,Digital Media & Advertising,guy,0.0043417886
0,Digital Media & Advertising,brand,0.0041948515
0,Digital Media & Advertising,ahead,0.0038886212
0,Digital Media & Advertising,way,0.0038759673
0,Digital Media & Advertising,margin,0.0037819492
0,Digital Media & Advertising,across,0.0036880265
0,Digital Media & Advertising,want,0.0034429627
0,Digital Media & Advertising,sale,0.003362649
0,Digital Media & Advertising,hey,0.003304836
0,Digital Media & Advertising,around,0.0032960984
0,Digital Media & Advertising,talk,0.003225413
0,Digital Media & Advertising,guidance,0.0031762607
0,Digital Media & Advertising,make,0.003085819
0,Digital Media & Advertising,consumer,0.0030324925
0,Digital Media & Advertising,ask,0.002890274
0,Digital Media & Advertising,marketing,0.002837514
0,Digital Media & Advertising,obviously,0.0027359456
0,Digital Media & Advertising,follow,0.0027134516
0,Digital Media & Advertising,may,0.002704742
0,Digital Media & Advertising,sort,0.0026889567
0,Digital Media & Advertising,performance,0.002556367
1,Investor Conference (General),customer,0.010575429
1,Investor Conference (General),got,0.00948303
1,Investor Conference (General),gon,0.00912717
1,Investor Conference (General),hmm,0.008341425
1,Investor Conference (General),mean,0.008069905
1,Investor Conference (General),way,0.0072689727
1,Investor Conference (General),people,0.006768873
1,Investor Conference (General),data,0.0064853574
1,Investor Conference (General),make,0.0056816502
1,Investor Conference (General),talk,0.0056181927
1,Investor Conference (General),want,0.0055256383
1,Investor Conference (General),need,0.0055073737
1,Investor Conference (General),power,0.0047650356
1,Investor Conference (General),center,0.004684585
1,Investor Conference (General),technology,0.004584388
1,Investor Conference (General),industry,0.004454937
1,Investor Conference (General),system,0.0044230362
1,Investor Conference (General),pretty,0.0043137167
1,Investor Conference (General),around,0.0042457366
1,Investor Conference (General),big,0.0042373557
1,Investor Conference (General),still,0.0040984815
1,Investor Conference (General),probably,0.004079034
1,Investor Conference (General),able,0.0037833336
1,Investor Conference (General),work,0.003777668
1,Investor Conference (General),long,0.0037059586
1,Investor Conference (General),different,0.0037049954
1,Investor Conference (General),opportunity,0.003695689
1,Investor Conference (General),side,0.0036473367
1,Investor Conference (General),something,0.0034296773
1,Investor Conference (General),ago,0.003351188
2,Nordic / European Small Caps,fiber,0.015564625
2,Nordic / European Small Caps,network,0.0120487455
2,Nordic / European Small Caps,revenue,0.009785677
2,Nordic / European Small Caps,mobile,0.008089151
2,Nordic / European Small Caps,customer,0.007812555
2,Nordic / European Small Caps,arpu,0.0068270396
2,Nordic / European Small Caps,cost,0.006768184
2,Nordic / European Small Caps,det,0.0062721465
2,Nordic / European Small Caps,service,0.006224768
2,Nordic / European Small Caps,churn,0.005284596
2,Nordic / European Small Caps,spectrum,0.0052329027
2,Nordic / European Small Caps,capex,0.0051281312
2,Nordic / European Small Caps,broadband,0.0048888545
2,Nordic / European Small Caps,subscriber,0.004884761
2,Nordic / European Small Caps,wireless,0.0047186567
2,Nordic / European Small Caps,cable,0.004607586
2,Nordic / European Small Caps,mean,0.0046039526
2,Nordic / European Small Caps,cash,0.004346595
2,Nordic / European Small Caps,opportunity,0.0042765127
2,Nordic / European Small Caps,ebitda,0.004104786
2,Nordic / European Small Caps,strategy,0.0039826483
2,Nordic / European Small Caps,tower,0.00394333
2,Nordic / European Small Caps,mentioned,0.0038521762
2,Nordic / European Small Caps,expect,0.003737186
2,Nordic / European Small Caps,increase,0.0037227722
2,Nordic / European Small Caps,digital,0.0036745255
2,Nordic / European Small Caps,morning,0.00358517
2,Nordic / European Small Caps,telecom,0.003551648
2,Nordic / European Small Caps,value,0.0035071813
2,Nordic / European Small Caps,let,0.0033229047
3,"Aerospace, Defense & Industrials",revenue,0.0105145145
3,"Aerospace, Defense & Industrials",margin,0.009908335
3,"Aerospace, Defense & Industrials",opportunity,0.0099015925
3,"Aerospace, Defense & Industrials",customer,0.008437928
3,"Aerospace, Defense & Industrials",got,0.0069581945
3,"Aerospace, Defense & Industrials",gon,0.0062113428
3,"Aerospace, Defense & Industrials",program,0.005538644
3,"Aerospace, Defense & Industrials",sort,0.005444065
3,"Aerospace, Defense & Industrials",guy,0.005138385
3,"Aerospace, Defense & Industrials",backlog,0.005031595
